日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,600519,1911.64,1907.87,1925.59,1870.64,33843,6913653248.0,2.88,0.06,1.23,0.27
2022-01-05,600519,1901.64,1880.64,1921.64,1874.64,28396,5774992128.0,2.46,-1.43,-27.23,0.23
2022-01-06,600519,1878.65,1838.86,1892.64,1795.15,51795,10226933760.0,5.18,-2.22,-41.78,0.41
2022-01-07,600519,1831.64,1798.64,1845.52,1795.96,29817,5831695360.0,2.7,-2.19,-40.22,0.24
2022-01-10,600519,1784.65,1822.64,1833.64,1774.19,29627,5792738048.0,3.31,1.33,24.0,0.24
2022-01-11,600519,1804.64,1797.19,1821.64,1787.81,22277,4332180736.0,1.86,-1.4,-25.45,0.18
2022-01-12,600519,1804.64,1823.64,1835.44,1804.64,27474,5384359680.0,1.71,1.47,26.45,0.22
2022-01-13,600519,1821.46,1734.03,1824.63,1722.2,56747,10781720576.0,5.62,-4.91,-89.61,0.45
2022-01-14,600519,1734.03,1723.64,1749.64,1719.64,29322,5506185984.0,1.73,-0.6,-10.39,0.23
2022-01-17,600519,1724.64,1718.25,1734.94,1691.98,27354,5074077696.0,2.49,-0.31,-5.39,0.22
2022-01-18,600519,1718.32,1748.91,1765.49,1708.64,31216,5906705920.0,3.31,1.78,30.66,0.25
2022-01-19,600519,1775.64,1768.64,1775.64,1745.52,26371,5026993408.0,1.72,1.13,19.73,0.21
2022-01-20,600519,1772.64,1826.16,1836.63,1772.64,34014,6665294848.0,3.62,3.25,57.52,0.27
2022-01-21,600519,1816.64,1841.63,1850.13,1807.65,30813,6091427584.0,2.33,0.85,15.47,0.25
2022-01-24,600519,1811.64,1806.84,1840.64,1788.08,23986,4685441792.0,2.85,-1.89,-34.79,0.19
2022-01-25,600519,1799.64,1799.64,1822.64,1787.64,25510,4971078400.0,1.94,-0.4,-7.2,0.2
2022-01-26,600519,1798.68,1811.64,1825.64,1775.64,23905,4655706624.0,2.78,0.67,12.0,0.19
2022-01-27,600519,1857.65,1821.64,1867.46,1808.64,42665,8450329088.0,3.25,0.55,10.0,0.34
2022-01-28,600519,1811.64,1743.64,1824.64,1736.65,41020,7889492992.0,4.83,-4.28,-78.0,0.33
2022-02-07,600519,1757.63,1724.6,1770.2,1706.64,35150,6601799680.0,3.65,-1.09,-19.04,0.28
2022-02-08,600519,1725.52,1695.64,1729.51,1646.64,41713,7585130496.0,4.81,-1.68,-28.96,0.33
2022-02-09,600519,1695.73,1752.62,1764.64,1683.61,33885,6346699776.0,4.78,3.36,56.98,0.27
2022-02-10,600519,1756.64,1729.64,1762.54,1714.03,23032,4315456768.0,2.77,-1.31,-22.98,0.18
