日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,000333,66.8,68.16,68.3,66.4,310408,2323005424.0,2.85,2.33,1.55,0.45
2022-01-05,000333,68.2,69.07,72.63,67.54,613699,4743653632.0,7.47,1.34,0.91,0.9
2022-01-06,000333,68.61,67.78,70.99,67.6,341889,2599839616.0,4.91,-1.87,-1.29,0.5
2022-01-07,000333,68.28,70.58,71.28,67.81,437221,3393184320.0,5.12,4.13,2.8,0.64
2022-01-10,000333,71.0,70.6,73.68,69.8,352522,2760629552.0,5.5,0.03,0.02,0.52
2022-01-11,000333,69.82,68.4,71.62,68.3,336945,2592315664.0,4.7,-3.12,-2.2,0.49
2022-01-12,000333,68.89,67.08,69.12,65.83,384641,2852050496.0,4.81,-1.93,-1.32,0.56
2022-01-13,000333,67.38,65.12,68.16,65.0,267326,1957650624.0,4.71,-2.92,-1.96,0.39
2022-01-14,000333,64.9,64.8,65.65,64.2,209970,1516106944.0,2.23,-0.49,-0.32,0.31
2022-01-17,000333,64.9,65.83,66.24,64.52,203811,1481637504.0,2.65,1.59,1.03,0.3
2022-01-18,000333,65.61,66.1,66.48,64.82,213077,1554810608.0,2.52,0.41,0.27,0.31
2022-01-19,000333,66.5,68.03,68.99,66.26,404011,3035602736.0,4.13,2.92,1.93,0.59
2022-01-20,000333,67.99,71.42,71.6,67.91,506622,3941616640.0,5.42,4.98,3.39,0.74
2022-01-21,000333,70.92,70.21,71.62,69.43,302262,2345227568.0,3.07,-1.69,-1.21,0.44
2022-01-24,000333,69.6,69.88,71.83,69.3,169131,1307756736.0,3.6,-0.47,-0.33,0.25
2022-01-25,000333,69.6,68.65,71.6,68.02,251852,1938021216.0,5.12,-1.76,-1.23,0.37
2022-01-26,000333,69.27,69.31,70.33,68.34,179965,1376378672.0,2.9,0.96,0.66,0.26
2022-01-27,000333,68.55,67.62,69.57,67.31,258966,1951701424.0,3.26,-2.44,-1.69,0.38
2022-01-28,000333,67.63,66.0,68.8,65.83,269219,1996946176.0,4.39,-2.4,-1.62,0.39
2022-02-07,000333,67.3,67.5,68.44,66.18,212958,1582887136.0,3.42,2.27,1.5,0.31
2022-02-08,000333,67.2,67.1,67.7,65.8,252228,1858705328.0,2.81,-0.59,-0.4,0.37
2022-02-09,000333,67.4,69.39,69.87,66.7,308211,2329350896.0,4.72,3.41,2.29,0.45
2022-02-10,000333,68.9,66.45,69.41,66.3,400938,2986309648.0,4.48,-4.24,-2.94,0.59
2022-02-11,000333,65.95,66.94,67.4,65.28,263156,1943208560.0,3.19,0.74,0.49,0.39
2022-02-14,000333,66.3,65.8,66.33,64.4,198336,1443390304.0,2.88,-1.7,-1.14,0.29
2022-02-15,000333,65.52,64.83,66.1,64.7,226626,1639397264.0,2.13,-1.47,-0.97,0.33
2022-02-16,000333,64.98,66.1,66.29,64.6,189393,1380576752.0,2.61,1.96,1.27,0.28
2022-02-17,000333,65.81,65.07,66.6,64.91,177123,1288420224.0,2.56,-1.56,-1.03,0.26
2022-02-18,000333,64.59,65.8,65.94,64.11,153925,1114787728.0,2.81,1.12,0.73,0.23
2022-02-21,000333,65.6,65.5,65.62,64.8,107091,776053568.0,1.25,-0.46,-0.3,0.16
2022-02-22,000333,64.9,62.97,64.95,62.05,363014,2550080176.0,4.43,-3.86,-2.53,0.53
2022-02-23,000333,62.85,63.28,63.44,62.5,195986,1377756704.0,1.49,0.49,0.31,0.29
2022-02-24,000333,62.32,61.1,62.56,60.26,418997,2867573792.0,3.63,-3.45,-2.18,0.61
2022-02-25,000333,61.55,60.92,61.75,60.61,224171,1528873760.0,1.87,-0.29,-0.18,0.33
2022-02-28,000333,60.3,59.52,60.42,58.3,483624,3207726544.0,3.48,-2.3,-1.4,0.71
2022-03-01,000333,59.41,61.13,61.19,58.48,406335,2724504800.0,4.55,2.7,1.61,0.59
2022-03-02,000333,60.3,59.72,60.3,59.0,247869,1658320784.0,2.13,-2.31,-1.41,0.36
2022-03-03,000333,60.05,59.47,60.05,58.75,262306,1743964880.0,2.18,-0.42,-0.25,0.38
2022-03-04,000333,58.75,58.4,59.13,57.89,305204,2001514128.0,2.09,-1.8,-1.07,0.45
2022-03-07,000333,57.38,55.31,57.38,54.84,476452,2998946560.0,4.35,-5.29,-3.09,0.7
2022-03-08,000333,54.7,52.56,55.8,52.5,577687,3513393056.0,5.97,-4.97,-2.75,0.85
2022-03-09,000333,52.08,52.32,52.81,49.41,562758,3289964736.0,6.47,-0.46,-0.24,0.82
2022-03-10,000333,54.01,51.67,54.19,50.92,473629,2809518528.0,6.25,-1.24,-0.65,0.69
2022-03-11,000333,51.1,52.18,52.47,50.13,356390,2080976816.0,4.53,0.99,0.51,0.52
2022-03-14,000333,50.82,49.49,51.89,49.49,319186,1851362816.0,4.6,-5.16,-2.69,0.47
2022-03-15,000333,49.0,47.2,50.03,47.08,499268,2779415600.0,5.96,-4.63,-2.29,0.73
2022-03-16,000333,49.0,49.79,50.11,47.05,529458,2962039200.0,6.48,5.49,2.59,0.77
2022-03-17,000333,52.24,51.5,52.48,50.41,522664,3071637072.0,4.16,3.43,1.71,0.76
2022-03-18,000333,51.5,51.7,51.81,50.45,368393,2148265056.0,2.64,0.39,0.2,0.54
2022-03-21,000333,51.83,51.25,52.35,50.8,306417,1798629632.0,3.0,-0.87,-0.45,0.45
2022-03-22,000333,50.9,51.38,51.74,50.82,194040,1134303600.0,1.8,0.25,0.13,0.28
2022-03-23,000333,51.53,50.8,51.66,50.73,243737,1418165968.0,1.81,-1.13,-0.58,0.36
2022-03-24,000333,50.3,50.38,50.62,49.91,236787,1361843504.0,1.4,-0.83,-0.42,0.35
2022-03-25,000333,50.39,48.89,50.72,48.85,252164,1430819632.0,3.71,-2.96,-1.49,0.37
2022-03-28,000333,48.67,48.6,48.96,47.6,215853,1198968560.0,2.78,-0.59,-0.29,0.32
2022-03-29,000333,48.91,47.45,49.03,47.26,252430,1391082048.0,3.64,-2.37,-1.15,0.37
2022-03-30,000333,47.79,49.8,49.8,47.75,339003,1899860144.0,4.32,4.95,2.35,0.5
2022-03-31,000333,49.7,49.8,50.0,49.02,251336,1428403888.0,1.97,0.0,0.0,0.37
2022-04-01,000333,49.3,51.4,52.04,48.61,457752,2655473472.0,6.89,3.21,1.6,0.67
2022-04-06,000333,50.85,51.21,51.98,50.7,307532,1798592448.0,2.49,-0.37,-0.19,0.45
2022-04-07,000333,50.45,50.5,51.92,50.41,269420,1567998976.0,2.95,-1.39,-0.71,0.39
2022-04-08,000333,50.5,50.13,50.72,49.64,226827,1297780224.0,2.14,-0.73,-0.37,0.33
2022-04-11,000333,50.25,48.16,50.27,48.07,338124,1894585184.0,4.39,-3.93,-1.97,0.49
2022-04-12,000333,48.54,50.24,50.3,48.09,297175,1671057312.0,4.59,4.32,2.08,0.43
2022-04-13,000333,49.78,49.37,50.25,49.23,211987,1206396768.0,2.03,-1.73,-0.87,0.31
2022-04-14,000333,49.82,51.52,51.88,49.82,427417,2497101920.0,4.17,4.35,2.15,0.63
2022-04-15,000333,51.12,51.45,52.1,50.96,212421,1246877152.0,2.21,-0.14,-0.07,0.31
2022-04-18,000333,51.3,50.37,51.3,50.33,154682,893259008.0,1.89,-2.1,-1.08,0.23
2022-04-19,000333,50.45,50.1,50.95,49.86,168495,971057232.0,2.16,-0.54,-0.27,0.25
2022-04-20,000333,50.55,50.36,51.69,49.8,216628,1255101328.0,3.77,0.52,0.26,0.32
2022-04-21,000333,49.9,48.83,50.79,48.4,280000,1586256608.0,4.75,-3.04,-1.53,0.41
2022-04-22,000333,48.4,49.77,50.32,47.48,244698,1373768016.0,5.82,1.93,0.94,0.36
2022-04-25,000333,49.35,47.87,50.29,47.83,325601,1837475008.0,4.94,-3.82,-1.9,0.48
2022-04-26,000333,47.87,44.59,48.27,44.31,632046,3336916864.0,8.27,-6.85,-3.28,0.92
2022-04-27,000333,43.53,45.9,46.15,43.3,375710,1983750320.0,6.39,2.94,1.31,0.55
2022-04-28,000333,46.3,46.08,46.5,44.87,252589,1335819840.0,3.55,0.39,0.18,0.37
2022-04-29,000333,46.8,49.89,50.09,46.08,575241,3198610304.0,8.7,8.27,3.81,0.84
2022-05-05,000333,50.85,51.5,52.18,50.65,467907,2748594256.0,3.07,3.23,1.61,0.68
2022-05-06,000333,50.4,51.0,51.3,50.19,212170,1232140912.0,2.16,-0.97,-0.5,0.31
2022-05-09,000333,50.05,49.16,50.32,48.57,215297,1216418064.0,3.43,-3.61,-1.84,0.31
2022-05-10,000333,48.03,49.4,49.69,47.8,300571,1689113760.0,3.84,0.49,0.24,0.44
2022-05-11,000333,49.28,49.48,50.3,48.8,359115,2038556240.0,3.04,0.16,0.08,0.52
2022-05-12,000333,49.38,48.54,49.38,48.08,225791,1261668400.0,2.63,-1.9,-0.94,0.33
2022-05-13,000333,49.32,49.81,49.97,49.0,244320,1386786848.0,2.0,2.62,1.27,0.36
2022-05-16,000333,50.32,49.0,51.55,48.35,286645,1624257216.0,6.42,-1.63,-0.81,0.42
2022-05-17,000333,48.8,50.19,50.3,48.5,228314,1301041280.0,3.67,2.43,1.19,0.33
2022-05-18,000333,50.3,49.43,50.47,48.72,222697,1258738704.0,3.49,-1.51,-0.76,0.33
2022-05-19,000333,48.59,48.62,48.99,48.13,201959,1125169392.0,1.74,-1.64,-0.81,0.3
2022-05-20,000333,48.7,49.7,49.92,48.16,266085,1502431008.0,3.62,2.22,1.08,0.39
2022-05-23,000333,49.15,47.11,49.3,46.89,557831,3054327104.0,4.85,-5.21,-2.59,0.82
2022-05-24,000333,46.86,46.59,47.49,46.35,263463,1425290688.0,2.42,-1.1,-0.52,0.38
2022-05-25,000333,46.3,46.2,46.6,45.8,221974,1182899104.0,1.72,-0.84,-0.39,0.32
2022-05-26,000333,46.2,46.62,46.88,44.6,423828,2242918336.0,4.94,0.91,0.42,0.62
2022-05-27,000333,47.23,45.92,47.59,45.81,352557,1897823152.0,3.82,-1.5,-0.7,0.52
2022-05-30,000333,45.95,46.2,46.6,45.81,216385,1152606784.0,1.72,0.61,0.28,0.32
2022-05-31,000333,46.29,47.28,47.28,45.9,355099,1910341888.0,2.99,2.34,1.08,0.52
2022-06-01,000333,47.1,47.07,47.57,46.65,292058,1584914304.0,1.95,-0.44,-0.21,0.43
2022-06-02,000333,47.26,47.06,47.28,46.58,275846,1445923344.0,1.49,-0.02,-0.01,0.4
2022-06-06,000333,47.08,47.29,47.43,46.08,365209,1916117648.0,2.87,0.49,0.23,0.53
2022-06-07,000333,47.0,47.5,47.63,46.6,291695,1540591776.0,2.18,0.44,0.21,0.43
2022-06-08,000333,47.51,47.49,48.3,47.03,362977,1921801472.0,2.67,-0.02,-0.01,0.53
2022-06-09,000333,47.35,46.88,47.65,46.69,286836,1507868960.0,2.02,-1.28,-0.61,0.42
2022-06-10,000333,46.61,46.75,46.84,46.25,300349,1563195296.0,1.26,-0.28,-0.13,0.44
2022-06-13,000333,46.3,45.56,46.35,45.16,404263,2064281840.0,2.55,-2.55,-1.19,0.59
2022-06-14,000333,44.8,45.93,46.06,44.62,348424,1764306400.0,3.16,0.81,0.37,0.51
2022-06-15,000333,45.62,48.94,49.5,45.62,915078,4906858752.0,8.45,6.55,3.01,1.34
2022-06-16,000333,48.97,48.33,49.43,47.99,359382,1942251728.0,2.94,-1.25,-0.61,0.53
2022-06-17,000333,47.53,49.26,49.91,47.02,538134,2909185792.0,5.98,1.92,0.93,0.79
2022-06-20,000333,49.66,51.56,52.05,49.66,765309,4349794560.0,4.85,4.67,2.3,1.12
2022-06-21,000333,51.6,51.79,52.89,51.15,537077,3093973216.0,3.37,0.45,0.23,0.78
2022-06-22,000333,51.77,50.5,51.77,50.5,297211,1674082880.0,2.45,-2.49,-1.29,0.43
2022-06-23,000333,50.46,50.49,50.97,49.8,304532,1698132576.0,2.32,-0.02,-0.01,0.44
2022-06-24,000333,50.49,52.3,53.45,50.26,732011,4236370544.0,6.32,3.58,1.81,1.07
2022-06-27,000333,52.8,53.6,54.58,52.8,581584,3454900576.0,3.4,2.49,1.3,0.85
2022-06-28,000333,54.1,53.6,54.1,52.95,322522,1902451600.0,2.15,0.0,0.0,0.47
2022-06-29,000333,53.98,53.77,55.14,53.71,420723,2520771104.0,2.67,0.32,0.17,0.61
2022-06-30,000333,53.86,54.89,55.16,53.5,370539,2223920752.0,3.09,2.08,1.12,0.54
2022-07-01,000333,54.69,53.29,54.69,52.66,337857,1992141904.0,3.7,-2.91,-1.6,0.49
2022-07-04,000333,52.04,54.47,54.56,52.04,313750,1867732496.0,4.73,2.21,1.18,0.46
2022-07-05,000333,54.25,54.04,55.99,53.4,283847,1695670016.0,4.75,-0.79,-0.43,0.41
2022-07-06,000333,54.55,53.78,55.53,53.17,307640,1828885008.0,4.37,-0.48,-0.26,0.45
2022-07-07,000333,53.52,53.2,54.3,53.0,197472,1165987952.0,2.42,-1.08,-0.58,0.29
2022-07-08,000333,53.62,53.08,53.62,52.4,227250,1326085872.0,2.29,-0.23,-0.12,0.33
2022-07-11,000333,52.76,53.4,53.7,52.22,273547,1600533216.0,2.79,0.6,0.32,0.4
2022-07-12,000333,53.55,54.6,55.38,53.55,408104,2451083764.0,3.43,2.25,1.2,0.6
2022-07-13,000333,54.58,52.8,54.75,52.53,387901,2277523772.29,4.07,-3.3,-1.8,0.57
2022-07-14,000333,53.5,50.7,53.69,50.35,545200,3101127518.64,6.33,-3.98,-2.1,0.8
2022-07-15,000333,50.3,49.7,51.08,49.65,302679,1686983213.61,2.82,-1.97,-1.0,0.44
2022-07-18,000333,49.7,49.79,50.38,48.5,235494,1297826116.98,3.78,0.18,0.09,0.34
2022-07-19,000333,49.6,49.53,50.16,49.26,197097,1084831637.01,1.81,-0.52,-0.26,0.29
2022-07-20,000333,49.97,49.93,50.85,49.6,217052,1207951153.93,2.52,0.81,0.4,0.32
2022-07-21,000333,50.0,49.39,50.4,49.3,163847,902059283.76,2.2,-1.08,-0.54,0.24
2022-07-22,000333,49.15,49.59,49.97,48.8,186461,1022770982.77,2.37,0.4,0.2,0.27
