日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,601318,43.12,43.72,43.78,42.82,635838,3221366640.0,2.23,1.37,0.59,0.59
2022-01-05,601318,43.83,44.79,45.12,43.69,1181247,6124173568.0,3.27,2.45,1.07,1.09
2022-01-06,601318,44.71,44.02,44.74,43.94,661658,3408947584.0,1.79,-1.72,-0.77,0.61
2022-01-07,601318,44.21,45.66,46.05,44.17,1230760,6481039360.0,4.27,3.73,1.64,1.14
2022-01-10,601318,45.71,45.8,46.28,45.22,761134,4033301408.0,2.32,0.31,0.14,0.7
2022-01-11,601318,45.89,45.58,46.46,45.26,680920,3612879168.0,2.62,-0.48,-0.22,0.63
2022-01-12,601318,45.32,45.22,45.53,44.58,572923,2998981424.0,2.08,-0.79,-0.36,0.53
2022-01-13,601318,45.27,45.02,46.4,45.02,728663,3862897680.0,3.05,-0.44,-0.2,0.67
2022-01-14,601318,45.07,43.82,45.22,43.78,779397,4014279664.0,3.2,-2.67,-1.2,0.72
2022-01-17,601318,43.83,43.66,44.15,43.47,460567,2348769408.0,1.55,-0.37,-0.16,0.43
2022-01-18,601318,43.66,43.95,44.31,43.32,636980,3252038704.0,2.27,0.66,0.29,0.59
2022-01-19,601318,44.02,44.17,44.56,43.83,483316,2488231280.0,1.66,0.5,0.22,0.45
2022-01-20,601318,44.22,46.12,46.24,44.17,1448359,7661793536.0,4.69,4.41,1.95,1.34
2022-01-21,601318,46.22,46.27,46.52,45.72,1041895,5564930560.0,1.73,0.33,0.15,0.96
2022-01-24,601318,46.25,45.85,46.25,45.25,542641,2873364832.0,2.16,-0.91,-0.42,0.5
2022-01-25,601318,45.32,43.92,45.62,43.82,776662,4032087600.0,3.93,-4.21,-1.93,0.72
2022-01-26,601318,44.4,44.55,44.91,43.94,483275,2502203696.0,2.21,1.43,0.63,0.45
2022-01-27,601318,44.22,43.51,44.22,43.49,586502,2992952672.0,1.64,-2.33,-1.04,0.54
2022-01-28,601318,43.74,42.69,44.07,42.52,729355,3688023392.0,3.56,-1.88,-0.82,0.67
2022-02-07,601318,44.06,44.7,45.19,43.42,940417,4858781696.0,4.15,4.71,2.01,0.87
2022-02-08,601318,44.48,45.72,45.75,44.44,866116,4567112448.0,2.93,2.28,1.02,0.8
2022-02-09,601318,45.96,45.76,46.72,45.6,880435,4695366144.0,2.45,0.09,0.04,0.81
2022-02-10,601318,45.9,46.9,46.9,45.52,962787,5186085888.0,3.02,2.49,1.14,0.89
2022-02-11,601318,47.07,48.31,48.95,46.8,1583777,8759710976.0,4.58,3.01,1.41,1.46
2022-02-14,601318,47.73,46.62,48.02,46.4,944654,5121073152.0,3.35,-3.5,-1.69,0.87
2022-02-15,601318,46.27,46.0,46.62,45.63,635406,3385015072.0,2.12,-1.33,-0.62,0.59
2022-02-16,601318,46.22,46.56,46.9,46.0,523210,2818960512.0,1.96,1.22,0.56,0.48
2022-02-17,601318,46.82,46.37,47.35,46.08,504904,2723626784.0,2.73,-0.41,-0.19,0.47
2022-02-18,601318,46.32,47.22,47.32,46.16,484226,2621179792.0,2.5,1.83,0.85,0.45
2022-02-21,601318,46.82,46.88,46.97,46.23,387928,2089115312.0,1.57,-0.72,-0.34,0.36
2022-02-22,601318,46.24,45.79,46.32,45.43,577499,3064280608.0,1.9,-2.33,-1.09,0.53
2022-02-23,601318,45.82,45.61,46.02,45.41,463602,2449763792.0,1.33,-0.39,-0.18,0.43
2022-02-24,601318,44.87,44.18,44.97,43.81,975396,5039207424.0,2.54,-3.14,-1.43,0.9
2022-02-25,601318,44.42,44.12,44.78,43.93,544416,2808109120.0,1.92,-0.14,-0.06,0.5
2022-02-28,601318,43.82,43.48,43.82,42.97,731883,3707888592.0,1.93,-1.45,-0.64,0.68
2022-03-01,601318,43.73,44.11,44.12,43.29,568036,2895181120.0,1.91,1.45,0.63,0.52
2022-03-02,601318,43.62,43.48,43.95,43.42,436923,2222138928.0,1.2,-1.43,-0.63,0.4
2022-03-03,601318,43.52,43.64,43.91,43.42,352676,1795901328.0,1.13,0.37,0.16,0.33
2022-03-04,601318,43.19,42.82,43.2,42.68,700865,3510136272.0,1.19,-1.88,-0.82,0.65
2022-03-07,601318,42.34,41.6,42.34,41.38,784597,3847577920.0,2.24,-2.85,-1.22,0.72
2022-03-08,601318,41.44,40.19,41.78,40.02,834403,4021028000.0,4.23,-3.39,-1.41,0.77
2022-03-09,601318,40.33,39.64,40.65,38.22,825545,3878723584.0,6.05,-1.37,-0.55,0.76
2022-03-10,601318,40.67,39.63,40.76,39.58,587753,2783372912.0,2.98,-0.03,-0.01,0.54
2022-03-11,601318,38.72,39.86,40.12,38.42,667078,3085709552.0,4.29,0.58,0.23,0.62
2022-03-14,601318,38.72,38.53,39.29,38.49,592578,2734567248.0,2.01,-3.34,-1.33,0.55
2022-03-15,601318,37.77,35.37,37.92,35.27,1269379,5571772416.0,6.88,-8.2,-3.16,1.17
2022-03-16,601318,36.01,37.01,37.37,35.05,1009694,4391918336.0,6.56,4.64,1.64,0.93
2022-03-17,601318,38.22,38.22,38.92,37.47,1095722,4982734592.0,3.92,3.27,1.21,1.01
2022-03-18,601318,37.77,40.65,41.1,37.64,1552323,7308943872.0,9.05,6.36,2.43,1.43
2022-03-21,601318,40.49,39.76,40.49,39.35,949519,4472952832.0,2.8,-2.19,-0.89,0.88
2022-03-22,601318,39.22,40.52,40.58,39.17,742112,3516558048.0,3.55,1.91,0.76,0.69
2022-03-23,601318,40.28,40.62,40.88,39.87,577029,2748027968.0,2.49,0.25,0.1,0.53
2022-03-24,601318,40.25,40.97,41.44,40.12,610757,2943276288.0,3.25,0.86,0.35,0.56
2022-03-25,601318,40.73,40.35,41.51,40.3,559938,2696644336.0,2.95,-1.51,-0.62,0.52
2022-03-28,601318,40.12,40.57,40.84,39.65,393686,1872940912.0,2.95,0.55,0.22,0.36
2022-03-29,601318,40.67,39.93,40.92,39.87,322357,1532063824.0,2.59,-1.58,-0.64,0.3
2022-03-30,601318,40.27,41.42,41.55,40.17,575427,2776948848.0,3.46,3.73,1.49,0.53
2022-03-31,601318,41.12,41.17,41.97,41.02,423498,2063589520.0,2.29,-0.6,-0.25,0.39
2022-04-01,601318,41.02,41.68,41.83,40.83,473677,2307234640.0,2.43,1.24,0.51,0.44
2022-04-06,601318,41.77,42.26,42.64,41.72,640053,3166678384.0,2.21,1.39,0.58,0.59
2022-04-07,601318,41.92,41.2,42.24,41.01,501130,2447803104.0,2.91,-2.51,-1.06,0.46
2022-04-08,601318,41.07,41.96,41.97,41.07,434732,2124961296.0,2.18,1.84,0.76,0.4
2022-04-11,601318,41.63,40.34,41.7,40.24,506405,2433396192.0,3.48,-3.86,-1.62,0.47
2022-04-12,601318,40.58,41.19,41.6,40.2,467396,2251825856.0,3.47,2.11,0.85,0.43
2022-04-13,601318,40.97,40.54,41.1,40.4,317751,1524357808.0,1.7,-1.58,-0.65,0.29
2022-04-14,601318,41.09,40.91,41.24,40.62,358849,1731655008.0,1.53,0.91,0.37,0.33
2022-04-15,601318,40.72,41.02,41.46,40.62,314115,1520937856.0,2.05,0.27,0.11,0.29
2022-04-18,601318,40.71,39.72,40.71,39.55,405375,1912485744.0,2.83,-3.17,-1.3,0.37
